image,mse,psnr,ssim,lpips
test_sub-stroke0092_00000_dwi.png,0.05243593859971207,12.803709537485613,0.8760933836936738,0.23951539397239685
test_sub-stroke0092_00001_dwi.png,0.05486394367787564,12.607129780661166,0.8806223407564838,0.2913220524787903
test_sub-stroke0092_00002_dwi.png,0.05221019375644129,12.822446950827695,0.8910995375410096,0.3053188621997833
test_sub-stroke0092_00003_dwi.png,0.038963443139324955,14.093426721646484,0.9000776154467418,0.23764225840568542
test_sub-stroke0092_00004_dwi.png,0.023339212410788734,16.319138034500153,0.9062304510982063,0.2152481973171234
test_sub-stroke0092_00005_dwi.png,0.010719704506757716,19.698171859915043,0.9128760604269821,0.17705786228179932
test_sub-stroke0092_00006_dwi.png,0.003046236199303165,25.16236425334526,0.9150372004933909,0.15118606388568878
test_sub-stroke0092_00007_dwi.png,0.002183771851318822,26.607927363377097,0.9155507289763857,0.10967056453227997
test_sub-stroke0092_00008_dwi.png,0.0025034742839921686,26.01456865370588,0.9004470145156851,0.11392227560281754
test_sub-stroke0092_00009_dwi.png,0.0021676849767103823,26.640038322891755,0.9044633071447015,0.08149449527263641
test_sub-stroke0092_00010_dwi.png,0.0018143883175069375,27.412697591157844,0.9012666910918176,0.07492850720882416
test_sub-stroke0092_00011_dwi.png,0.001622169106916066,27.8990387369312,0.8938438942921345,0.07839883118867874
test_sub-stroke0092_00012_dwi.png,0.002044168926315676,26.894832177666107,0.8805172939215675,0.09122159332036972
test_sub-stroke0092_00013_dwi.png,0.0026311195074608107,25.79859425478699,0.8786387755504388,0.08689526468515396
test_sub-stroke0092_00014_dwi.png,0.002056036162323499,26.869692510778155,0.8672618955694971,0.09025260806083679
test_sub-stroke0092_00015_dwi.png,0.0023074805630080297,26.368619485529322,0.8511258780513224,0.1153472289443016
test_sub-stroke0092_00016_dwi.png,0.00443553600993607,23.530538905805173,0.8378768541745123,0.1350492388010025
test_sub-stroke0092_00017_dwi.png,0.00446799458270164,23.498873621240676,0.8367935648900199,0.12759451568126678
test_sub-stroke0092_00018_dwi.png,0.0050579293533949965,22.960272409554317,0.8302662570149628,0.13817529380321503
test_sub-stroke0092_00019_dwi.png,0.0049784195680663,23.02908504991906,0.8424290595349386,0.12169156968593597
test_sub-stroke0092_00020_dwi.png,0.005412742979368473,22.665825946144867,0.8507323008684673,0.09757402539253235
test_sub-stroke0092_00021_dwi.png,0.003997237261504999,23.982400728296504,0.856176186123169,0.08830106258392334
test_sub-stroke0092_00022_dwi.png,0.0042968668520443065,23.66848103685971,0.8480471351341973,0.08650092035531998
